topic	relation	language	pos	lemma	orthography	features
Q36312	Demonym noun	Q1860	nominal	Calgarian	Calgarians	Q131105,Q146786
Q36312	Demonym noun	Q1860	nominal	Calgarian	Calgarian	Q110786,Q131105
Q2920595	Human denoting sense	Q1860	nominal	sexologist	sexologists	Q131105,Q146786
Q2920595	Human denoting sense	Q1860	nominal	sexologist	sexologist	Q110786,Q131105
Q710173	Demonym adjective	Q1860	adjectival	overseas korean	overseas korean	Q3482678
Q5377025	Human denoting sense	Q1860	nominal	energy broker	energy brokers	Q131105,Q146786
Q5377025	Human denoting sense	Q1860	nominal	energy broker	energy broker	Q110786,Q131105
Q16563	Demonym noun	Q1860	nominal	Memphian	Memphians	Q131105,Q146786
Q16563	Demonym noun	Q1860	nominal	Memphian	Memphian	Q110786,Q131105
Q320852	Demonym adjective	Q1860	adjectival	Abian	Abian	Q3482678
Q3314452	Demonym noun	Q1860	nominal	Native Mexican	Native Mexican	Q131105,Q146786
Q3314452	Demonym noun	Q1860	nominal	Native Mexican	Native Mexican	Q110786,Q131105
Q1060050	Demonym noun	Q1860	nominal	Black Russian	Black Russians	Q131105,Q146786
Q1060050	Demonym noun	Q1860	nominal	Black Russian	Black Russian	Q110786,Q131105
Q11303574	Human denoting sense	Q1860	nominal	gospel singer	gospel singers	Q131105,Q146786
Q11303574	Human denoting sense	Q1860	nominal	gospel singer	gospel singer	Q110786,Q131105
Q19736253	Human denoting sense	Q1860	nominal	cover girl	cover girls	Q131105,Q146786,Q1775415
Q19736253	Human denoting sense	Q1860	nominal	cover girl	cover girl	Q110786,Q131105,Q1775415
Q461282	Demonym adjective	Q1860	adjectival	Nuosu	Nuosu	Q3482678
Q131802	Demonym adjective	Q1860	adjectival	Scythian	Scythian	Q3482678
Q1137067	Demonym adjective	Q1860	adjectival	Aawambo	Aawambo	Q3482678
Q145793	Demonym adjective	Q1860	adjectival	Zamfaran	Zamfaran	Q3482678
Q207962	Demonym adjective	Q1860	adjectival	Gurkha	Gurkha	Q3482678
Q392651	Human denoting sense	Q1860	nominal	spy	spies	Q131105,Q146786
Q392651	Human denoting sense	Q1860	nominal	spy	spy	Q110786,Q131105
Q11697052	Human denoting sense	Q1860	nominal	ergonomist	ergonomists	Q131105,Q146786
Q11697052	Human denoting sense	Q1860	nominal	ergonomist	ergonomist	Q110786,Q131105
Q891952	Demonym adjective	Q1860	adjectival	Bometian	Bometian	Q3482678
Q47140	Demonym noun	Q1860	nominal	Brahmin	Brahmins	Q131105,Q146786
Q47140	Demonym noun	Q1860	nominal	Brahmin	Brahmin	Q110786,Q131105
Q16157743	Human denoting sense	Q1860	nominal	crossword puzzle maker	crossword puzzle makers	Q131105,Q146786
Q16157743	Human denoting sense	Q1860	nominal	crossword puzzle maker	crossword puzzle maker	Q110786,Q131105
Q21479668	Human denoting sense	Q1860	nominal	bowler	bowlers	Q131105,Q146786
Q21479668	Human denoting sense	Q1860	nominal	bowler	bowler	Q110786,Q131105
Q3595746	Demonym adjective	Q1860	adjectival	Vishwakarma	Vishwakarma	Q3482678
Q3687674	Human denoting sense	Q1860	nominal	image consultant	image consultants	Q131105,Q146786
Q3687674	Human denoting sense	Q1860	nominal	image consultant	image consultant	Q110786,Q131105
Q1658894	Human denoting sense	Q1860	nominal	illusionist	illusionists	Q131105,Q146786
Q1658894	Human denoting sense	Q1860	nominal	illusionist	illusionist	Q110786,Q131105
Q105405	Demonym adjective	Q1860	adjectival	Cherokee	Cherokee	Q3482678
Q5330004	Demonym adjective	Q1860	adjectival	Cherokee	Cherokee	Q3482678
Q1011	Demonym adjective	Q1860	adjectival	Cape Verdean	Cape Verdean	Q3482678
Q3330547	Human denoting sense	Q1860	nominal	chronicler	chroniclers	Q131105,Q146786
Q3330547	Human denoting sense	Q1860	nominal	chronicler	chronicler	Q110786,Q131105
Q1866848	Human denoting sense	Q1860	nominal	llanero	llaneros	Q131105,Q146786
Q1866848	Human denoting sense	Q1860	nominal	llanero	llanero	Q110786,Q131105
Q16014296	Human denoting sense	Q1860	nominal	diver	divers	Q131105,Q146786
Q16014296	Human denoting sense	Q1860	nominal	diver	diver	Q110786,Q131105
Q869	Demonym adjective	Q1860	adjectival	Thai	Thai	Q3482678
Q458461	Human denoting sense	Q1860	nominal	bishop of Chichester	bishops of Chichester	Q131105,Q146786,Q499327
Q458461	Human denoting sense	Q1860	nominal	bishop of Chichester	bishop of Chichester	Q110786,Q131105,Q499327
Q16461	Demonym adjective	Q1860	adjectival	Nanaimoite	Nanaimoite	Q3482678
Q3595742	Demonym adjective	Q1860	adjectival	Agrawal	Agrawal	Q3482678
Q1059355	Demonym adjective	Q1860	adjectival	Chakma	Chakma	Q3482678
Q5754528	Human denoting sense	Q1860	nominal	high-functioning alcoholic	high-functioning alcoholics	Q131105,Q146786
Q5754528	Human denoting sense	Q1860	nominal	high-functioning alcoholic	high-functioning alcoholic	Q110786,Q131105
Q431164	Demonym adjective	Q1860	adjectival	Arab Christian	Arab Christian	Q3482678
Q3494346	Human denoting sense	Q1860	nominal	specialist	specialists	Q131105,Q146786
Q3494346	Human denoting sense	Q1860	nominal	specialist	specialist	Q110786,Q131105
Q121998	Human denoting sense	Q1860	nominal	ambassador	ambassadors	Q131105,Q146786
Q121998	Human denoting sense	Q1860	nominal	ambassador	ambassador	Q110786,Q131105
Q51782	Demonym adjective	Q1860	adjectival	Calusa	Calusa	Q3482678
Q512345	Human denoting sense	Q1860	nominal	criminal defense lawyer	criminal defense lawyers	Q131105,Q146786
Q512345	Human denoting sense	Q1860	nominal	criminal defense lawyer	criminal defense lawyer	Q110786,Q131105
Q748645	Human denoting sense	Q1860	nominal	shipping clerk	shipping clerks	Q131105,Q146786
Q748645	Human denoting sense	Q1860	nominal	shipping clerk	shipping clerk	Q110786,Q131105
Q188779	Demonym adjective	Q1860	adjectival	Norwegian	Norwegian	Q3482678
Q11051391	Human denoting sense	Q1860	nominal	envoy	envoys	Q131105,Q146786
Q11051391	Human denoting sense	Q1860	nominal	envoy	envoy	Q110786,Q131105
Q1234581	Demonym noun	Q1860	nominal	Igorot	Igorots	Q131105,Q146786
Q1234581	Demonym noun	Q1860	nominal	Igorot	Igorot	Q110786,Q131105
Q4806687	Demonym adjective	Q1860	adjectival	Asian-Latin American	Asian-Latin American	Q3482678
Q405435	Demonym adjective	Q1860	adjectival	Aimaq	Aimaq	Q3482678
Q902435	Human denoting sense	Q1860	nominal	bridesmaid	bridesmaids	Q131105,Q146786,Q1775415
Q902435	Human denoting sense	Q1860	nominal	bridesmaid	bridesmaid	Q110786,Q131105,Q1775415
Q14970638	Human denoting sense	Q1860	nominal	medical assistant	medical assistants	Q131105,Q146786
Q14970638	Human denoting sense	Q1860	nominal	medical assistant	medical assistant	Q110786,Q131105
Q8962709	Human denoting sense	Q1860	nominal	franchisor	franchisors	Q131105,Q146786
Q8962709	Human denoting sense	Q1860	nominal	franchisor	franchisor	Q110786,Q131105
Q12406482	Human denoting sense	Q1860	nominal	humorist	humorists	Q131105,Q146786
Q12406482	Human denoting sense	Q1860	nominal	humorist	humorist	Q110786,Q131105
Q937857	Human denoting sense	Q1860	nominal	soccer player	soccer players	Q131105,Q146786
Q937857	Human denoting sense	Q1860	nominal	soccer player	soccer player	Q110786,Q131105
Q35170	Demonym adjective	Q1860	adjectival	Caddo	Caddo	Q3482678
Q5697103	Human denoting sense	Q1860	nominal	antiquarian	antiquarians	Q131105,Q146786
Q5697103	Human denoting sense	Q1860	nominal	antiquarian	antiquarian	Q110786,Q131105
Q172365	Demonym adjective	Q1860	adjectival	San	San	Q3482678
Q1154745	Human denoting sense	Q1860	nominal	food taster	food tasters	Q131105,Q146786
Q1154745	Human denoting sense	Q1860	nominal	food taster	food taster	Q110786,Q131105
Q2962070	Human denoting sense	Q1860	nominal	production designer	production designers	Q131105,Q146786
Q2962070	Human denoting sense	Q1860	nominal	production designer	production designer	Q110786,Q131105
Q705996	Human denoting sense	Q1860	nominal	director	directors	Q131105,Q146786
Q705996	Human denoting sense	Q1860	nominal	director	director	Q110786,Q131105
Q72810	Demonym adjective	Q1860	adjectival	Nùng	Nùng	Q3482678
Q1264586	Human denoting sense	Q1860	nominal	duke of Marlborough	dukes of Marlborough	Q131105,Q146786
Q1264586	Human denoting sense	Q1860	nominal	duke of Marlborough	duke of Marlborough	Q110786,Q131105
Q50001	Demonym adjective	Q1860	adjectival	Italian	Italian	Q3482678
Q82594	Human denoting sense	Q1860	nominal	computer scientist	computer scientists	Q131105,Q146786
Q82594	Human denoting sense	Q1860	nominal	computer scientist	computer scientist	Q110786,Q131105
Q171927	Demonym adjective	Q1860	adjectival	Pygmy	Pygmy	Q3482678
Q1413824	Human denoting sense	Q1860	nominal	glassblower	glassblowers	Q131105,Q146786
Q1413824	Human denoting sense	Q1860	nominal	glassblower	glassblower	Q110786,Q131105
Q847603	Demonym adjective	Q1860	adjectival	Dyak	Dyak	Q3482678
Q5464779	Human denoting sense	Q1860	nominal	follower	followers	Q131105,Q146786
Q5464779	Human denoting sense	Q1860	nominal	follower	follower	Q110786,Q131105
Q1429504	Demonym noun	Q1860	nominal	Kickapoo	Kickapoos	Q131105,Q146786
Q1429504	Demonym noun	Q1860	nominal	Kickapoo	Kickapoo	Q110786,Q131105
Q154845	Demonym adjective	Q1860	adjectival	Jute	Jute	Q3482678
Q482942	Demonym noun	Q1860	nominal	Azerbaijani	Azerbaijanis	Q131105,Q146786
Q482942	Demonym noun	Q1860	nominal	Azerbaijani	Azerbaijani	Q110786,Q131105
Q179789	Human denoting sense	Q1860	nominal	handball goalkeeper	handball goalkeepers	Q131105,Q146786
Q179789	Human denoting sense	Q1860	nominal	handball goalkeeper	handball goalkeeper	Q110786,Q131105
Q211720	Demonym adjective	Q1860	adjectival	Afar	Afar	Q3482678
Q59273517	Human denoting sense	Q1860	nominal	photography historian	photography historians	Q131105,Q146786
Q59273517	Human denoting sense	Q1860	nominal	photography historian	photography historian	Q110786,Q131105
Q543386	Demonym noun	Q1860	nominal	Oglala Lakota	Oglala Lakota	Q131105,Q146786
Q543386	Demonym noun	Q1860	nominal	Oglala Lakota	Oglala Lakota	Q110786,Q131105
Q11885948	Human denoting sense	Q1860	nominal	osteopath	osteopaths	Q131105,Q146786
Q11885948	Human denoting sense	Q1860	nominal	osteopath	osteopath	Q110786,Q131105
Q777952	Human denoting sense	Q1860	nominal	instructor	instructors	Q131105,Q146786
Q777952	Human denoting sense	Q1860	nominal	instructor	instructor	Q110786,Q131105
Q23693	Demonym adjective	Q1860	adjectival	visigothic	visigothic	Q3482678
Q11974939	Human denoting sense	Q1860	nominal	health professional	health professionals	Q131105,Q146786
Q11974939	Human denoting sense	Q1860	nominal	health professional	health professional	Q110786,Q131105
Q5469192	Human denoting sense	Q1860	nominal	forest range officer	forest range officers	Q131105,Q146786
Q5469192	Human denoting sense	Q1860	nominal	forest range officer	forest range officer	Q110786,Q131105
Q459387	Demonym adjective	Q1860	adjectival	Khoisan	Khoisan	Q3482678
Q4806687	Demonym noun	Q1860	nominal	Asian-Latin American	Asian-Latin Americans	Q131105,Q146786
Q4806687	Demonym noun	Q1860	nominal	Asian-Latin American	Asian-Latin American	Q110786,Q131105
Q933758	Human denoting sense	Q1860	nominal	catechumen	catechumens	Q131105,Q146786
Q933758	Human denoting sense	Q1860	nominal	catechumen	catechumen	Q110786,Q131105
Q577055	Demonym adjective	Q1860	adjectival	Sahrawi	Sahrawi	Q3482678
Q18356677	Demonym adjective	Q1860	adjectival	Marwari	Marwari	Q3482678
Q1061510	Demonym adjective	Q1860	adjectival	Egyptian	Egyptian	Q3482678
Q42740	Demonym adjective	Q1860	adjectival	Han Chinese	Han Chinese	Q3482678
Q12377274	Human denoting sense	Q1860	nominal	trumpeter	trumpeters	Q131105,Q146786
Q12377274	Human denoting sense	Q1860	nominal	trumpeter	trumpeter	Q110786,Q131105
Q138803	Demonym adjective	Q1860	adjectival	Qarmatian	Qarmatian	Q3482678
Q1516298	Demonym noun	Q1860	nominal	Tulalip	Tulalips	Q131105,Q146786
Q1516298	Demonym noun	Q1860	nominal	Tulalip	Tulalip	Q110786,Q131105
Q1062088	Demonym adjective	Q1860	adjectival	Changpa	Changpa	Q3482678
Q731997	Human denoting sense	Q1860	nominal	promagistrate	promagistrates	Q131105,Q146786
