topic	relation	language	pos	lemma	orthography	features
Q5096918	Human denoting sense	Q9072	nominal	peasekretär	peasekretärideta	Q146786,Q319822
Q5096918	Human denoting sense	Q9072	nominal	peasekretär	peasekretärita	Q110786,Q319822
Q5096918	Human denoting sense	Q9072	nominal	peasekretär	peasekretäridelt	Q146786,Q156986
Q5096918	Human denoting sense	Q9072	nominal	peasekretär	peasekretärilt	Q110786,Q156986
Q5096918	Human denoting sense	Q9072	nominal	peasekretär	peasekretäridel	Q146786,Q281954
Q5096918	Human denoting sense	Q9072	nominal	peasekretär	peasekretäril	Q110786,Q281954
Q5096918	Human denoting sense	Q9072	nominal	peasekretär	peasekretäridele	Q146786,Q655020
Q5096918	Human denoting sense	Q9072	nominal	peasekretär	peasekretärile	Q110786,Q655020
Q5096918	Human denoting sense	Q9072	nominal	peasekretär	peasekretäridega	Q146786,Q838581
Q5096918	Human denoting sense	Q9072	nominal	peasekretär	peasekretäriga	Q110786,Q838581
Q5096918	Human denoting sense	Q9072	nominal	peasekretär	peasekretäridest	Q146786,Q394253
Q5096918	Human denoting sense	Q9072	nominal	peasekretär	peasekretärist	Q110786,Q394253
Q5096918	Human denoting sense	Q9072	nominal	peasekretär	peasekretäridena	Q146786,Q148465
Q5096918	Human denoting sense	Q9072	nominal	peasekretär	peasekretärina	Q110786,Q148465
Q5096918	Human denoting sense	Q9072	nominal	peasekretär	peasekretäride	Q146233,Q146786
Q5096918	Human denoting sense	Q9072	nominal	peasekretär	peasekretäri	Q110786,Q146233
Q5096918	Human denoting sense	Q9072	nominal	peasekretär	peasekretäridesse	Q146786,Q474668
Q5096918	Human denoting sense	Q9072	nominal	peasekretär	peasekretäri	Q110786,Q474668
Q5096918	Human denoting sense	Q9072	nominal	peasekretär	peasekretärides	Q146786,Q282031
Q5096918	Human denoting sense	Q9072	nominal	peasekretär	peasekretäris	Q110786,Q282031
Q5096918	Human denoting sense	Q9072	nominal	peasekretär	peasekretärid	Q131105,Q146786
Q5096918	Human denoting sense	Q9072	nominal	peasekretär	peasekretär	Q110786,Q131105
Q5096918	Human denoting sense	Q9072	nominal	peasekretär	peasekretäre	Q146786,Q857325
Q5096918	Human denoting sense	Q9072	nominal	peasekretär	peasekretäri	Q110786,Q857325
Q5096918	Human denoting sense	Q9072	nominal	peasekretär	peasekretärideni	Q146786,Q747019
Q5096918	Human denoting sense	Q9072	nominal	peasekretär	peasekretärini	Q110786,Q747019
Q5096918	Human denoting sense	Q9072	nominal	peasekretär	peasekretärideks	Q146786,Q950170
Q5096918	Human denoting sense	Q9072	nominal	peasekretär	peasekretäriks	Q110786,Q950170
Q15686806	Human denoting sense	Q9072	nominal	senaator	senaatoriteta	Q146786,Q319822
Q15686806	Human denoting sense	Q9072	nominal	senaator	senaatorita	Q110786,Q319822
Q15686806	Human denoting sense	Q9072	nominal	senaator	senaatoreilt	Q146786,Q156986
Q15686806	Human denoting sense	Q9072	nominal	senaator	senaatorilt	Q110786,Q156986
Q15686806	Human denoting sense	Q9072	nominal	senaator	senaatoreil	Q146786,Q281954
Q15686806	Human denoting sense	Q9072	nominal	senaator	senaatoril	Q110786,Q281954
Q15686806	Human denoting sense	Q9072	nominal	senaator	senaatoreile	Q146786,Q655020
Q15686806	Human denoting sense	Q9072	nominal	senaator	senaatorile	Q110786,Q655020
Q15686806	Human denoting sense	Q9072	nominal	senaator	senaatoritega	Q146786,Q838581
Q15686806	Human denoting sense	Q9072	nominal	senaator	senaatoriga	Q110786,Q838581
Q15686806	Human denoting sense	Q9072	nominal	senaator	senaatoreist	Q146786,Q394253
Q15686806	Human denoting sense	Q9072	nominal	senaator	senaatorist	Q110786,Q394253
Q15686806	Human denoting sense	Q9072	nominal	senaator	senaatoritena	Q146786,Q148465
Q15686806	Human denoting sense	Q9072	nominal	senaator	senaatorina	Q110786,Q148465
Q15686806	Human denoting sense	Q9072	nominal	senaator	senaatorite	Q146233,Q146786
Q15686806	Human denoting sense	Q9072	nominal	senaator	senaatori	Q110786,Q146233
Q15686806	Human denoting sense	Q9072	nominal	senaator	senaatoreisse	Q146786,Q474668
Q15686806	Human denoting sense	Q9072	nominal	senaator	senaatorisse	Q110786,Q474668
Q15686806	Human denoting sense	Q9072	nominal	senaator	senaatoreis	Q146786,Q282031
Q15686806	Human denoting sense	Q9072	nominal	senaator	senaatoris	Q110786,Q282031
Q15686806	Human denoting sense	Q9072	nominal	senaator	senaatorid	Q131105,Q146786
Q15686806	Human denoting sense	Q9072	nominal	senaator	senaator	Q110786,Q131105
Q15686806	Human denoting sense	Q9072	nominal	senaator	senaatoreid	Q146786,Q857325
Q15686806	Human denoting sense	Q9072	nominal	senaator	senaatorit	Q110786,Q857325
Q15686806	Human denoting sense	Q9072	nominal	senaator	senaatoriteni	Q146786,Q747019
Q15686806	Human denoting sense	Q9072	nominal	senaator	senaatorini	Q110786,Q747019
Q15686806	Human denoting sense	Q9072	nominal	senaator	senaatoreiks	Q146786,Q950170
