topic	relation	language	pos	lemma	orthography	features
Q845985	Demonym noun	Q150	nominal	négrito	négritos	Q146786,Q1775415
Q845985	Demonym noun	Q150	nominal	négrito	négrito	Q110786,Q1775415
Q845985	Demonym noun	Q150	nominal	négrito	négritos	Q146786,Q499327
Q845985	Demonym noun	Q150	nominal	négrito	négrito	Q110786,Q499327
Q190168	Demonym noun	Q150	nominal	yoruba	yorubas	Q146786,Q1775415
Q190168	Demonym noun	Q150	nominal	yoruba	yoruba	Q110786,Q1775415
Q190168	Demonym noun	Q150	nominal	yoruba	yorubas	Q146786,Q499327
Q190168	Demonym noun	Q150	nominal	yoruba	yoruba	Q110786,Q499327
Q5096837	Human denoting sense	Q150	nominal	médecin-chef	médecins-cheffes	Q146786,Q1775415
Q5096837	Human denoting sense	Q150	nominal	médecin-chef	médecin-cheffe	Q110786,Q1775415
Q5096837	Human denoting sense	Q150	nominal	médecin-chef	médecins-chefs	Q146786,Q499327
Q5096837	Human denoting sense	Q150	nominal	médecin-chef	médecin-chef	Q110786,Q499327
Q2576499	Human denoting sense	Q150	nominal	nutritionniste	nutritionnistes	Q146786,Q1775415
Q2576499	Human denoting sense	Q150	nominal	nutritionniste	nutritionniste	Q110786,Q1775415
Q2576499	Human denoting sense	Q150	nominal	nutritionniste	nutritionnistes	Q146786,Q499327
Q2576499	Human denoting sense	Q150	nominal	nutritionniste	nutritionniste	Q110786,Q499327
Q28222011	Demonym adjective	Q150	adjectival	marocain en Belgique	marocaines en Belgique	Q146786,Q1775415
Q28222011	Demonym adjective	Q150	adjectival	marocain en Belgique	marocaine en Belgique	Q110786,Q1775415
Q28222011	Demonym adjective	Q150	adjectival	marocain en Belgique	marocains en Belgique	Q146786,Q499327
Q28222011	Demonym adjective	Q150	adjectival	marocain en Belgique	marocain en Belgique	Q110786,Q499327
Q192647	Demonym noun	Q150	nominal	hutu	hutues	Q146786,Q1775415
Q192647	Demonym noun	Q150	nominal	hutu	hutue	Q110786,Q1775415
Q192647	Demonym noun	Q150	nominal	hutu	hutus	Q146786,Q499327
Q192647	Demonym noun	Q150	nominal	hutu	hutu	Q110786,Q499327
Q42884	Demonym adjective	Q150	adjectival	allemand	allemandes	Q146786,Q1775415
Q42884	Demonym adjective	Q150	adjectival	allemand	allemande	Q110786,Q1775415
Q42884	Demonym adjective	Q150	adjectival	allemand	allemands	Q146786,Q499327
Q42884	Demonym adjective	Q150	adjectival	allemand	allemand	Q110786,Q499327
Q17413056	Human denoting sense	Q150	nominal	defensive lineman	defensive linemans	Q146786,Q1775415
Q17413056	Human denoting sense	Q150	nominal	defensive lineman	defensive lineman	Q110786,Q1775415
Q17413056	Human denoting sense	Q150	nominal	defensive lineman	defensive linemans	Q146786,Q499327
Q17413056	Human denoting sense	Q150	nominal	defensive lineman	defensive lineman	Q110786,Q499327
Q83460	Human denoting sense	Q150	nominal	général	générales	Q146786,Q1775415
Q83460	Human denoting sense	Q150	nominal	général	générale	Q110786,Q1775415
Q83460	Human denoting sense	Q150	nominal	général	généraux	Q146786,Q499327
Q83460	Human denoting sense	Q150	nominal	général	général	Q110786,Q499327
Q5482740	Human denoting sense	Q150	nominal	développeur	développeuses	Q146786,Q1775415
Q5482740	Human denoting sense	Q150	nominal	développeur	développeuse	Q110786,Q1775415
Q5482740	Human denoting sense	Q150	nominal	développeur	développeurs	Q146786,Q499327
Q5482740	Human denoting sense	Q150	nominal	développeur	développeur	Q110786,Q499327
Q3355249	Human denoting sense	Q150	nominal	orchestrateur	orchestratrices	Q146786,Q1775415
Q3355249	Human denoting sense	Q150	nominal	orchestrateur	orchestratrice	Q110786,Q1775415
Q3355249	Human denoting sense	Q150	nominal	orchestrateur	orchestrateurs	Q146786,Q499327
Q3355249	Human denoting sense	Q150	nominal	orchestrateur	orchestrateur	Q110786,Q499327
Q27164515	Human denoting sense	Q150	nominal	arrière-arrière-grand-père	arrière-arrière-grands-mères	Q146786,Q1775415
Q27164515	Human denoting sense	Q150	nominal	arrière-arrière-grand-père	arrière-arrière-grand-mère	Q110786,Q1775415
Q27164515	Human denoting sense	Q150	nominal	arrière-arrière-grand-père	arrière-arrière-grands-pères	Q146786,Q499327
