topic	relation	language	pos	lemma	orthography	features
Q17992886	Human denoting sense	Q9240	nominal	sekretaris jenderal	para sekretaris jenderal	Q131105,Q146786,Q1775415,Q53997851
Q17992886	Human denoting sense	Q9240	nominal	sekretaris jenderal	para sekretaris jenderal	Q131105,Q146786,Q499327,Q53997851
Q17992886	Human denoting sense	Q9240	nominal	sekretaris jenderal	sekretaris jenderal	Q110786,Q131105,Q1775415,Q53997851
Q17992886	Human denoting sense	Q9240	nominal	sekretaris jenderal	sekretaris jenderal	Q110786,Q131105,Q499327,Q53997851
Q17992886	Human denoting sense	Q9240	nominal	sekretaris jenderal	para sekretaris jenderal	Q131105,Q146786,Q1775415,Q53997857
Q17992886	Human denoting sense	Q9240	nominal	sekretaris jenderal	para sekretaris jenderal	Q131105,Q146786,Q499327,Q53997857
Q17992886	Human denoting sense	Q9240	nominal	sekretaris jenderal	sekretaris jenderal	Q110786,Q131105,Q1775415,Q53997857
Q17992886	Human denoting sense	Q9240	nominal	sekretaris jenderal	sekretaris jenderal	Q110786,Q131105,Q499327,Q53997857
Q266750	Human denoting sense	Q9240	nominal	dukun	dukun-dukunnya	Q131105,Q146786,Q1775415,Q53997851
Q266750	Human denoting sense	Q9240	nominal	dukun	dukun-dukunnya	Q131105,Q146786,Q499327,Q53997851
Q266750	Human denoting sense	Q9240	nominal	dukun	dukunnya	Q110786,Q131105,Q1775415,Q53997851
Q266750	Human denoting sense	Q9240	nominal	dukun	dukunnya	Q110786,Q131105,Q499327,Q53997851
Q266750	Human denoting sense	Q9240	nominal	dukun	dukun-dukun	Q131105,Q146786,Q1775415,Q53997857
Q266750	Human denoting sense	Q9240	nominal	dukun	dukun-dukun	Q131105,Q146786,Q499327,Q53997857
Q266750	Human denoting sense	Q9240	nominal	dukun	dukun	Q110786,Q131105,Q1775415,Q53997857
Q266750	Human denoting sense	Q9240	nominal	dukun	dukun	Q110786,Q131105,Q499327,Q53997857
Q239526	Human denoting sense	Q9240	nominal	keturunan	keturunan-keturunan	Q131105,Q146786,Q1775415,Q53997851
Q239526	Human denoting sense	Q9240	nominal	keturunan	keturunan-keturunan	Q131105,Q146786,Q499327,Q53997851
Q239526	Human denoting sense	Q9240	nominal	keturunan	keturunan	Q110786,Q131105,Q1775415,Q53997851
Q239526	Human denoting sense	Q9240	nominal	keturunan	keturunan	Q110786,Q131105,Q499327,Q53997851
Q239526	Human denoting sense	Q9240	nominal	keturunan	keturunan-keturunan	Q131105,Q146786,Q1775415,Q53997857
Q239526	Human denoting sense	Q9240	nominal	keturunan	keturunan-keturunan	Q131105,Q146786,Q499327,Q53997857
Q239526	Human denoting sense	Q9240	nominal	keturunan	keturunan	Q110786,Q131105,Q1775415,Q53997857
Q239526	Human denoting sense	Q9240	nominal	keturunan	keturunan	Q110786,Q131105,Q499327,Q53997857
Q216541	Human denoting sense	Q9240	nominal	sopir	sopir-sopirnya	Q131105,Q146786,Q1775415,Q53997851
Q216541	Human denoting sense	Q9240	nominal	sopir	sopir-sopirnya	Q131105,Q146786,Q499327,Q53997851
Q216541	Human denoting sense	Q9240	nominal	sopir	sopirnya	Q110786,Q131105,Q1775415,Q53997851
Q216541	Human denoting sense	Q9240	nominal	sopir	sopirnya	Q110786,Q131105,Q499327,Q53997851
Q216541	Human denoting sense	Q9240	nominal	sopir	sopir-sopir	Q131105,Q146786,Q1775415,Q53997857
Q216541	Human denoting sense	Q9240	nominal	sopir	sopir-sopir	Q131105,Q146786,Q499327,Q53997857
Q216541	Human denoting sense	Q9240	nominal	sopir	sopir	Q110786,Q131105,Q1775415,Q53997857
Q216541	Human denoting sense	Q9240	nominal	sopir	sopir	Q110786,Q131105,Q499327,Q53997857
Q11078349	Human denoting sense	Q9240	nominal	analis seo	analis-analis seonya	Q131105,Q146786,Q1775415,Q53997851
Q11078349	Human denoting sense	Q9240	nominal	analis seo	analis-analis seonya	Q131105,Q146786,Q499327,Q53997851
Q11078349	Human denoting sense	Q9240	nominal	analis seo	analis seonya	Q110786,Q131105,Q1775415,Q53997851
Q11078349	Human denoting sense	Q9240	nominal	analis seo	analis seonya	Q110786,Q131105,Q499327,Q53997851
Q11078349	Human denoting sense	Q9240	nominal	analis seo	analis-analis seo	Q131105,Q146786,Q1775415,Q53997857
Q11078349	Human denoting sense	Q9240	nominal	analis seo	analis-analis seo	Q131105,Q146786,Q499327,Q53997857
Q11078349	Human denoting sense	Q9240	nominal	analis seo	analis seo	Q110786,Q131105,Q1775415,Q53997857
Q11078349	Human denoting sense	Q9240	nominal	analis seo	analis seo	Q110786,Q131105,Q499327,Q53997857
Q852835	Human denoting sense	Q9240	nominal	pelanggan	pelanggan-pelanggan	Q131105,Q146786,Q1775415,Q53997851
Q852835	Human denoting sense	Q9240	nominal	pelanggan	pelanggan-pelanggan	Q131105,Q146786,Q499327,Q53997851
Q852835	Human denoting sense	Q9240	nominal	pelanggan	pelanggan	Q110786,Q131105,Q1775415,Q53997851
