topic	relation	language	pos	lemma	orthography	features
Q10082670	Human denoting sense	Q652	nominal	sorella maggiore	sorelle maggiori	Q146786,Q1775415
Q10082670	Human denoting sense	Q652	nominal	sorella maggiore	sorella maggiore	Q110786,Q1775415
Q3242291	Human denoting sense	Q652	nominal	chief constable	chief constable	Q146786,Q1775415
Q3242291	Human denoting sense	Q652	nominal	chief constable	chief constable	Q110786,Q1775415
Q3242291	Human denoting sense	Q652	nominal	chief constable	chief constable	Q146786,Q499327
Q3242291	Human denoting sense	Q652	nominal	chief constable	chief constable	Q110786,Q499327
Q12172	Demonym adjective	Q652	adjectival	basilese	basilesi	Q146786,Q1775415
Q12172	Demonym adjective	Q652	adjectival	basilese	basilese	Q110786,Q1775415
Q12172	Demonym adjective	Q652	adjectival	basilese	basilesi	Q146786,Q499327
Q12172	Demonym adjective	Q652	adjectival	basilese	basilese	Q110786,Q499327
Q734	Demonym adjective	Q652	adjectival	guyanese	guyanesi	Q146786,Q1775415
Q734	Demonym adjective	Q652	adjectival	guyanese	guyanese	Q110786,Q1775415
Q734	Demonym adjective	Q652	adjectival	guyanese	guyanesi	Q146786,Q499327
Q734	Demonym adjective	Q652	adjectival	guyanese	guyanese	Q110786,Q499327
Q40348	Human denoting sense	Q652	nominal	avvocato	avvocate	Q146786,Q1775415
Q40348	Human denoting sense	Q652	nominal	avvocato	avvocata	Q110786,Q1775415
Q40348	Human denoting sense	Q652	nominal	avvocato	avvocati	Q146786,Q499327
Q40348	Human denoting sense	Q652	nominal	avvocato	avvocato	Q110786,Q499327
Q13466284	Human denoting sense	Q652	nominal	lavoratore in remoto	lavoratrici in remoto	Q146786,Q1775415
Q13466284	Human denoting sense	Q652	nominal	lavoratore in remoto	lavoratrice in remoto	Q110786,Q1775415
Q13466284	Human denoting sense	Q652	nominal	lavoratore in remoto	lavoratori in remoto	Q146786,Q499327
Q13466284	Human denoting sense	Q652	nominal	lavoratore in remoto	lavoratore in remoto	Q110786,Q499327
Q2758917	Human denoting sense	Q652	nominal	chartularius	chartularius	Q146786,Q1775415
