topic	relation	language	pos	lemma	orthography	features
Q1045	Demonym adjective	Q33673	adjectival	ಸೋಮಾಲಿ	ಸೋಮಾಲಿ	
Q37394	Demonym adjective	Q33673	adjectival	ಮೆಲನೇಶಿಯನ್	ಮೆಲನೇಶಿಯನ್	
Q916	Demonym adjective	Q33673	adjectival	ಅಂಗೋಲನ್	ಅಂಗೋಲನ್	
Q1555938	Demonym adjective	Q33673	adjectival	ಅಂಟಾರ್ಕ್ಟಿಕ್	ಅಂಟಾರ್ಕ್ಟಿಕ್	
Q11708	Demonym adjective	Q33673	adjectival	ಆಗ್ನೇಯ ಏಷ್ಯನ್	ಆಗ್ನೇಯ ಏಷ್ಯನ್	
Q377916	Demonym adjective	Q33673	adjectival	ಇಬೆರೋ-ಅಮೆರಿಕನ್	ಇಬೆರೋ-ಅಮೆರಿಕನ್	
Q17252	Demonym adjective	Q33673	adjectival	ಟಿಬೆಟಿಯನ್	ಟಿಬೆಟಿಯನ್	
Q7204	Demonym adjective	Q33673	adjectival	ಮಿಡಲ್ ಈಸ್ಟರ್ನ್	ಮಿಡಲ್ ಈಸ್ಟರ್ನ್	
Q664609	Demonym adjective	Q33673	adjectival	ಕೆರಿಬಿಯನ್	ಕೆರಿಬಿಯನ್	
Q27407	Demonym adjective	Q33673	adjectival	ಪೂರ್ವ ಆಫ್ರಿಕನ್	ಪೂರ್ವ ಆಫ್ರಿಕನ್	
Q974	Demonym adjective	Q33673	adjectival	ಕಾಂಗೋಲೀಸ್	ಕಾಂಗೋಲೀಸ್	
Q2017699	Demonym adjective	Q33673	adjectival	ಉತ್ತರ ಅಮೆರಿಕನ್	ಉತ್ತರ ಅಮೆರಿಕನ್	
Q58825429	Human denoting sense	Q33673	nominal	ಒಲಿಂಪಿಕ್ ಕ್ರೀಡಾಪಟು	ಒಲಿಂಪಿಕ್ ಕ್ರೀಡಾಪಟುವನ್ನು	Q146078,Q146786,Q1775461
