topic	relation	language	pos	lemma	orthography	features
Q378622	Human denoting sense	Q9078	nominal	sacīkšu braucējs	sacīkšu braucējas	Q146078,Q146786,Q1775415
Q378622	Human denoting sense	Q9078	nominal	sacīkšu braucējs	sacīkšu braucēju	Q110786,Q146078,Q1775415
Q378622	Human denoting sense	Q9078	nominal	sacīkšu braucējs	sacīkšu braucējus	Q146078,Q146786,Q499327
Q378622	Human denoting sense	Q9078	nominal	sacīkšu braucējs	sacīkšu braucēju	Q110786,Q146078,Q499327
Q378622	Human denoting sense	Q9078	nominal	sacīkšu braucējs	sacīkšu braucējām	Q145599,Q146786,Q1775415
Q378622	Human denoting sense	Q9078	nominal	sacīkšu braucējs	sacīkšu braucējai	Q110786,Q145599,Q1775415
Q378622	Human denoting sense	Q9078	nominal	sacīkšu braucējs	sacīkšu braucējiem	Q145599,Q146786,Q499327
Q378622	Human denoting sense	Q9078	nominal	sacīkšu braucējs	sacīkšu braucējam	Q110786,Q145599,Q499327
Q378622	Human denoting sense	Q9078	nominal	sacīkšu braucējs	sacīkšu braucēju	Q146233,Q146786,Q1775415
Q378622	Human denoting sense	Q9078	nominal	sacīkšu braucējs	sacīkšu braucējas	Q110786,Q146233,Q1775415
Q378622	Human denoting sense	Q9078	nominal	sacīkšu braucējs	sacīkšu braucēju	Q146233,Q146786,Q499327
Q378622	Human denoting sense	Q9078	nominal	sacīkšu braucējs	sacīkšu braucēja	Q110786,Q146233,Q499327
Q378622	Human denoting sense	Q9078	nominal	sacīkšu braucējs	sacīkšu braucējās	Q146786,Q1775415,Q202142
Q378622	Human denoting sense	Q9078	nominal	sacīkšu braucējs	sacīkšu braucējā	Q110786,Q1775415,Q202142
Q378622	Human denoting sense	Q9078	nominal	sacīkšu braucējs	sacīkšu braucējos	Q146786,Q202142,Q499327
Q378622	Human denoting sense	Q9078	nominal	sacīkšu braucējs	sacīkšu braucējā	Q110786,Q202142,Q499327
Q378622	Human denoting sense	Q9078	nominal	sacīkšu braucējs	sacīkšu braucējas	Q131105,Q146786,Q1775415
Q378622	Human denoting sense	Q9078	nominal	sacīkšu braucējs	sacīkšu braucēja	Q110786,Q131105,Q1775415
Q378622	Human denoting sense	Q9078	nominal	sacīkšu braucējs	sacīkšu braucēji	Q131105,Q146786,Q499327
Q378622	Human denoting sense	Q9078	nominal	sacīkšu braucējs	sacīkšu braucējs	Q110786,Q131105,Q499327
Q378622	Human denoting sense	Q9078	nominal	sacīkšu braucējs	sacīkšu braucējas	Q146786,Q1775415,Q185077
Q378622	Human denoting sense	Q9078	nominal	sacīkšu braucējs	sacīkšu braucēja	Q110786,Q1775415,Q185077
Q378622	Human denoting sense	Q9078	nominal	sacīkšu braucējs	sacīkšu braucēji	Q146786,Q185077,Q499327
Q378622	Human denoting sense	Q9078	nominal	sacīkšu braucējs	sacīkšu braucēj	Q110786,Q185077,Q499327
Q7830010	Human denoting sense	Q9078	nominal	pilsētas seržants	pilsētas seržantes	Q146078,Q146786,Q1775415
Q7830010	Human denoting sense	Q9078	nominal	pilsētas seržants	pilsētas seržanti	Q110786,Q146078,Q1775415
Q7830010	Human denoting sense	Q9078	nominal	pilsētas seržants	pilsētas seržantus	Q146078,Q146786,Q499327
Q7830010	Human denoting sense	Q9078	nominal	pilsētas seržants	pilsētas seržantu	Q110786,Q146078,Q499327
Q7830010	Human denoting sense	Q9078	nominal	pilsētas seržants	pilsētas seržantēm	Q145599,Q146786,Q1775415
Q7830010	Human denoting sense	Q9078	nominal	pilsētas seržants	pilsētas seržantei	Q110786,Q145599,Q1775415
Q7830010	Human denoting sense	Q9078	nominal	pilsētas seržants	pilsētas seržantiem	Q145599,Q146786,Q499327
Q7830010	Human denoting sense	Q9078	nominal	pilsētas seržants	pilsētas seržantam	Q110786,Q145599,Q499327
Q7830010	Human denoting sense	Q9078	nominal	pilsētas seržants	pilsētas seržantu	Q146233,Q146786,Q1775415
Q7830010	Human denoting sense	Q9078	nominal	pilsētas seržants	pilsētas seržantes	Q110786,Q146233,Q1775415
Q7830010	Human denoting sense	Q9078	nominal	pilsētas seržants	pilsētas seržantu	Q146233,Q146786,Q499327
Q7830010	Human denoting sense	Q9078	nominal	pilsētas seržants	pilsētas seržanta	Q110786,Q146233,Q499327
Q7830010	Human denoting sense	Q9078	nominal	pilsētas seržants	pilsētas seržantēs	Q146786,Q1775415,Q202142
Q7830010	Human denoting sense	Q9078	nominal	pilsētas seržants	pilsētas seržantē	Q110786,Q1775415,Q202142
Q7830010	Human denoting sense	Q9078	nominal	pilsētas seržants	pilsētas seržantos	Q146786,Q202142,Q499327
Q7830010	Human denoting sense	Q9078	nominal	pilsētas seržants	pilsētas seržantā	Q110786,Q202142,Q499327
Q7830010	Human denoting sense	Q9078	nominal	pilsētas seržants	pilsētas seržantes	Q131105,Q146786,Q1775415
Q7830010	Human denoting sense	Q9078	nominal	pilsētas seržants	pilsētas seržante	Q110786,Q131105,Q1775415
Q7830010	Human denoting sense	Q9078	nominal	pilsētas seržants	pilsētas seržanti	Q131105,Q146786,Q499327
Q7830010	Human denoting sense	Q9078	nominal	pilsētas seržants	pilsētas seržants	Q110786,Q131105,Q499327
Q7830010	Human denoting sense	Q9078	nominal	pilsētas seržants	pilsētas seržantes	Q146786,Q1775415,Q185077
Q7830010	Human denoting sense	Q9078	nominal	pilsētas seržants	pilsētas seržante	Q110786,Q1775415,Q185077
Q7830010	Human denoting sense	Q9078	nominal	pilsētas seržants	pilsētas seržanti	Q146786,Q185077,Q499327
Q7830010	Human denoting sense	Q9078	nominal	pilsētas seržants	pilsētas seržant	Q110786,Q185077,Q499327
Q159979	Human denoting sense	Q9078	nominal	dvīņi	dvīnes	Q146078,Q146786,Q1775415
Q159979	Human denoting sense	Q9078	nominal	dvīņi	dvīni	Q110786,Q146078,Q1775415
Q159979	Human denoting sense	Q9078	nominal	dvīņi	dvīņus	Q146078,Q146786,Q499327
Q159979	Human denoting sense	Q9078	nominal	dvīņi	dvīņu	Q110786,Q146078,Q499327
Q159979	Human denoting sense	Q9078	nominal	dvīņi	dvīnēm	Q145599,Q146786,Q1775415
Q159979	Human denoting sense	Q9078	nominal	dvīņi	dvīnei	Q110786,Q145599,Q1775415
Q159979	Human denoting sense	Q9078	nominal	dvīņi	dvīņiem	Q145599,Q146786,Q499327
Q159979	Human denoting sense	Q9078	nominal	dvīņi	dvīņam	Q110786,Q145599,Q499327
Q159979	Human denoting sense	Q9078	nominal	dvīņi	dvīņu	Q146233,Q146786,Q1775415
Q159979	Human denoting sense	Q9078	nominal	dvīņi	dvīnes	Q110786,Q146233,Q1775415
Q159979	Human denoting sense	Q9078	nominal	dvīņi	dvīņu	Q146233,Q146786,Q499327
Q159979	Human denoting sense	Q9078	nominal	dvīņi	dvīņa	Q110786,Q146233,Q499327
Q159979	Human denoting sense	Q9078	nominal	dvīņi	dvīnēs	Q146786,Q1775415,Q202142
Q159979	Human denoting sense	Q9078	nominal	dvīņi	dvīnē	Q110786,Q1775415,Q202142
Q159979	Human denoting sense	Q9078	nominal	dvīņi	dvīņos	Q146786,Q202142,Q499327
Q159979	Human denoting sense	Q9078	nominal	dvīņi	dvīņā	Q110786,Q202142,Q499327
Q159979	Human denoting sense	Q9078	nominal	dvīņi	dvīnes	Q131105,Q146786,Q1775415
Q159979	Human denoting sense	Q9078	nominal	dvīņi	dvīne	Q110786,Q131105,Q1775415
Q159979	Human denoting sense	Q9078	nominal	dvīņi	dvīņi	Q131105,Q146786,Q499327
Q159979	Human denoting sense	Q9078	nominal	dvīņi	dvīņs	Q110786,Q131105,Q499327
Q159979	Human denoting sense	Q9078	nominal	dvīņi	dvīnes	Q146786,Q1775415,Q185077
Q159979	Human denoting sense	Q9078	nominal	dvīņi	dvīne	Q110786,Q1775415,Q185077
Q159979	Human denoting sense	Q9078	nominal	dvīņi	dvīņi	Q146786,Q185077,Q499327
Q159979	Human denoting sense	Q9078	nominal	dvīņi	dvīņ	Q110786,Q185077,Q499327
Q1755412	Human denoting sense	Q9078	nominal	fonogrammu iedziedātājs	fonogrammu iedziedātājas	Q146078,Q146786,Q1775415
Q1755412	Human denoting sense	Q9078	nominal	fonogrammu iedziedātājs	fonogrammu iedziedātāju	Q110786,Q146078,Q1775415
Q1755412	Human denoting sense	Q9078	nominal	fonogrammu iedziedātājs	fonogrammu iedziedātājus	Q146078,Q146786,Q499327
Q1755412	Human denoting sense	Q9078	nominal	fonogrammu iedziedātājs	fonogrammu iedziedātāju	Q110786,Q146078,Q499327
Q1755412	Human denoting sense	Q9078	nominal	fonogrammu iedziedātājs	fonogrammu iedziedātājām	Q145599,Q146786,Q1775415
Q1755412	Human denoting sense	Q9078	nominal	fonogrammu iedziedātājs	fonogrammu iedziedātājai	Q110786,Q145599,Q1775415
Q1755412	Human denoting sense	Q9078	nominal	fonogrammu iedziedātājs	fonogrammu iedziedātājiem	Q145599,Q146786,Q499327
Q1755412	Human denoting sense	Q9078	nominal	fonogrammu iedziedātājs	fonogrammu iedziedātājam	Q110786,Q145599,Q499327
Q1755412	Human denoting sense	Q9078	nominal	fonogrammu iedziedātājs	fonogrammu iedziedātāju	Q146233,Q146786,Q1775415
Q1755412	Human denoting sense	Q9078	nominal	fonogrammu iedziedātājs	fonogrammu iedziedātājas	Q110786,Q146233,Q1775415
Q1755412	Human denoting sense	Q9078	nominal	fonogrammu iedziedātājs	fonogrammu iedziedātāju	Q146233,Q146786,Q499327
Q1755412	Human denoting sense	Q9078	nominal	fonogrammu iedziedātājs	fonogrammu iedziedātāja	Q110786,Q146233,Q499327
Q1755412	Human denoting sense	Q9078	nominal	fonogrammu iedziedātājs	fonogrammu iedziedātājās	Q146786,Q1775415,Q202142
Q1755412	Human denoting sense	Q9078	nominal	fonogrammu iedziedātājs	fonogrammu iedziedātājā	Q110786,Q1775415,Q202142
Q1755412	Human denoting sense	Q9078	nominal	fonogrammu iedziedātājs	fonogrammu iedziedātājos	Q146786,Q202142,Q499327
Q1755412	Human denoting sense	Q9078	nominal	fonogrammu iedziedātājs	fonogrammu iedziedātājā	Q110786,Q202142,Q499327
Q1755412	Human denoting sense	Q9078	nominal	fonogrammu iedziedātājs	fonogrammu iedziedātājas	Q131105,Q146786,Q1775415
Q1755412	Human denoting sense	Q9078	nominal	fonogrammu iedziedātājs	fonogrammu iedziedātāja	Q110786,Q131105,Q1775415
Q1755412	Human denoting sense	Q9078	nominal	fonogrammu iedziedātājs	fonogrammu iedziedātāji	Q131105,Q146786,Q499327
Q1755412	Human denoting sense	Q9078	nominal	fonogrammu iedziedātājs	fonogrammu iedziedātājs	Q110786,Q131105,Q499327
Q1755412	Human denoting sense	Q9078	nominal	fonogrammu iedziedātājs	fonogrammu iedziedātājas	Q146786,Q1775415,Q185077
Q1755412	Human denoting sense	Q9078	nominal	fonogrammu iedziedātājs	fonogrammu iedziedātāja	Q110786,Q1775415,Q185077
Q1755412	Human denoting sense	Q9078	nominal	fonogrammu iedziedātājs	fonogrammu iedziedātāji	Q146786,Q185077,Q499327
Q1755412	Human denoting sense	Q9078	nominal	fonogrammu iedziedātājs	fonogrammu iedziedātājs	Q110786,Q185077,Q499327
Q217713	Human denoting sense	Q9078	nominal	pilnvarotais lietvedis	pilnvarotās lietvedes	Q146078,Q146786,Q1775415
Q217713	Human denoting sense	Q9078	nominal	pilnvarotais lietvedis	pilnvaroto lietvedi	Q110786,Q146078,Q1775415
Q217713	Human denoting sense	Q9078	nominal	pilnvarotais lietvedis	pilnvarotos lietvežus	Q146078,Q146786,Q499327
Q217713	Human denoting sense	Q9078	nominal	pilnvarotais lietvedis	pilnvaroto lietvedi	Q110786,Q146078,Q499327
Q217713	Human denoting sense	Q9078	nominal	pilnvarotais lietvedis	pilnvarotajām lietvedēm	Q145599,Q146786,Q1775415
Q217713	Human denoting sense	Q9078	nominal	pilnvarotais lietvedis	pilnvarotajai lietvedei	Q110786,Q145599,Q1775415
Q217713	Human denoting sense	Q9078	nominal	pilnvarotais lietvedis	pilnvarotajiem lietvežiem	Q145599,Q146786,Q499327
Q217713	Human denoting sense	Q9078	nominal	pilnvarotais lietvedis	pilnvarotajam lietvedim	Q110786,Q145599,Q499327
Q217713	Human denoting sense	Q9078	nominal	pilnvarotais lietvedis	pilnvaroto lietvežu	Q146233,Q146786,Q1775415
Q217713	Human denoting sense	Q9078	nominal	pilnvarotais lietvedis	pilnvarotās lietvedes	Q110786,Q146233,Q1775415
Q217713	Human denoting sense	Q9078	nominal	pilnvarotais lietvedis	pilnvaroto lietvežu	Q146233,Q146786,Q499327
Q217713	Human denoting sense	Q9078	nominal	pilnvarotais lietvedis	pilnvarotā lietveža	Q110786,Q146233,Q499327
Q217713	Human denoting sense	Q9078	nominal	pilnvarotais lietvedis	pilnvarotajās lietvedēs	Q146786,Q1775415,Q202142
Q217713	Human denoting sense	Q9078	nominal	pilnvarotais lietvedis	pilnvarotajā lietvedē	Q110786,Q1775415,Q202142
Q217713	Human denoting sense	Q9078	nominal	pilnvarotais lietvedis	pilnvarotajos lietvežos	Q146786,Q202142,Q499327
Q217713	Human denoting sense	Q9078	nominal	pilnvarotais lietvedis	pilnvarotajā lietvedī	Q110786,Q202142,Q499327
Q217713	Human denoting sense	Q9078	nominal	pilnvarotais lietvedis	pilnvarotās lietvedes	Q131105,Q146786,Q1775415
Q217713	Human denoting sense	Q9078	nominal	pilnvarotais lietvedis	pilnvarotā lietvede	Q110786,Q131105,Q1775415
Q217713	Human denoting sense	Q9078	nominal	pilnvarotais lietvedis	pilnvarotie lietveži	Q131105,Q146786,Q499327
Q217713	Human denoting sense	Q9078	nominal	pilnvarotais lietvedis	pilnvarotais lietvedis	Q110786,Q131105,Q499327
Q217713	Human denoting sense	Q9078	nominal	pilnvarotais lietvedis	pilnvarotās lietvedes	Q146786,Q1775415,Q185077
Q217713	Human denoting sense	Q9078	nominal	pilnvarotais lietvedis	pilnvarotā lietvede	Q110786,Q1775415,Q185077
Q217713	Human denoting sense	Q9078	nominal	pilnvarotais lietvedis	pilnvarotie lietveži	Q146786,Q185077,Q499327
Q217713	Human denoting sense	Q9078	nominal	pilnvarotais lietvedis	pilnvarotais lietvedi	Q110786,Q185077,Q499327
Q487596	Human denoting sense	Q9078	nominal	literārās daļas vadītājs	literārās daļas vadītājas	Q146078,Q146786,Q1775415
Q487596	Human denoting sense	Q9078	nominal	literārās daļas vadītājs	literārās daļas vadītāju	Q110786,Q146078,Q1775415
Q487596	Human denoting sense	Q9078	nominal	literārās daļas vadītājs	literārās daļas vadītājus	Q146078,Q146786,Q499327
Q487596	Human denoting sense	Q9078	nominal	literārās daļas vadītājs	literārās daļas vadītāju	Q110786,Q146078,Q499327
Q487596	Human denoting sense	Q9078	nominal	literārās daļas vadītājs	literārās daļas vadītājām	Q145599,Q146786,Q1775415
Q487596	Human denoting sense	Q9078	nominal	literārās daļas vadītājs	literārās daļas vadītājai	Q110786,Q145599,Q1775415
Q487596	Human denoting sense	Q9078	nominal	literārās daļas vadītājs	literārās daļas vadītājiem	Q145599,Q146786,Q499327
Q487596	Human denoting sense	Q9078	nominal	literārās daļas vadītājs	literārās daļas vadītājam	Q110786,Q145599,Q499327
Q487596	Human denoting sense	Q9078	nominal	literārās daļas vadītājs	literārās daļas vadītāju	Q146233,Q146786,Q1775415
Q487596	Human denoting sense	Q9078	nominal	literārās daļas vadītājs	literārās daļas vadītājas	Q110786,Q146233,Q1775415
Q487596	Human denoting sense	Q9078	nominal	literārās daļas vadītājs	literārās daļas vadītāju	Q146233,Q146786,Q499327
Q487596	Human denoting sense	Q9078	nominal	literārās daļas vadītājs	literārās daļas vadītāja	Q110786,Q146233,Q499327
Q487596	Human denoting sense	Q9078	nominal	literārās daļas vadītājs	literārās daļas vadītājās	Q146786,Q1775415,Q202142
Q487596	Human denoting sense	Q9078	nominal	literārās daļas vadītājs	literārās daļas vadītājā	Q110786,Q1775415,Q202142
Q487596	Human denoting sense	Q9078	nominal	literārās daļas vadītājs	literārās daļas vadītājos	Q146786,Q202142,Q499327
Q487596	Human denoting sense	Q9078	nominal	literārās daļas vadītājs	literārās daļas vadītājā	Q110786,Q202142,Q499327
Q487596	Human denoting sense	Q9078	nominal	literārās daļas vadītājs	literārās daļas vadītājas	Q131105,Q146786,Q1775415
Q487596	Human denoting sense	Q9078	nominal	literārās daļas vadītājs	literārās daļas vadītāja	Q110786,Q131105,Q1775415
Q487596	Human denoting sense	Q9078	nominal	literārās daļas vadītājs	literārās daļas vadītāji	Q131105,Q146786,Q499327
Q487596	Human denoting sense	Q9078	nominal	literārās daļas vadītājs	literārās daļas vadītājs	Q110786,Q131105,Q499327
Q487596	Human denoting sense	Q9078	nominal	literārās daļas vadītājs	literārās daļas vadītājas	Q146786,Q1775415,Q185077
Q487596	Human denoting sense	Q9078	nominal	literārās daļas vadītājs	literārās daļas vadītāja	Q110786,Q1775415,Q185077
