topic	relation	language	pos	lemma	orthography	features
Q486748	Human denoting sense	Q9043	nominal	pianist	pianistinnenes	Q146233,Q146786,Q1775415,Q53997851
Q486748	Human denoting sense	Q9043	nominal	pianist	pianistinnas	Q110786,Q146233,Q1775415,Q53997851
Q486748	Human denoting sense	Q9043	nominal	pianist	pianistenes	Q146233,Q146786,Q499327,Q53997851
Q486748	Human denoting sense	Q9043	nominal	pianist	pianistens	Q110786,Q146233,Q499327,Q53997851
Q486748	Human denoting sense	Q9043	nominal	pianist	pianistinners	Q146233,Q146786,Q1775415,Q53997857
Q486748	Human denoting sense	Q9043	nominal	pianist	pianistinnes	Q110786,Q146233,Q1775415,Q53997857
Q486748	Human denoting sense	Q9043	nominal	pianist	pianisters	Q146233,Q146786,Q499327,Q53997857
Q486748	Human denoting sense	Q9043	nominal	pianist	pianists	Q110786,Q146233,Q499327,Q53997857
Q486748	Human denoting sense	Q9043	nominal	pianist	pianistinnene	Q131105,Q146786,Q1775415,Q53997851
Q486748	Human denoting sense	Q9043	nominal	pianist	pianistinna	Q110786,Q131105,Q1775415,Q53997851
Q486748	Human denoting sense	Q9043	nominal	pianist	pianistene	Q131105,Q146786,Q499327,Q53997851
Q486748	Human denoting sense	Q9043	nominal	pianist	pianisten	Q110786,Q131105,Q499327,Q53997851
Q486748	Human denoting sense	Q9043	nominal	pianist	pianistinner	Q131105,Q146786,Q1775415,Q53997857
Q486748	Human denoting sense	Q9043	nominal	pianist	pianistinne	Q110786,Q131105,Q1775415,Q53997857
Q486748	Human denoting sense	Q9043	nominal	pianist	pianister	Q131105,Q146786,Q499327,Q53997857
Q486748	Human denoting sense	Q9043	nominal	pianist	pianist	Q110786,Q131105,Q499327,Q53997857
Q6859454	Human denoting sense	Q9043	nominal	yogainstruktør	yogainstruktørenes	Q146233,Q146786,Q1775415,Q53997851
Q6859454	Human denoting sense	Q9043	nominal	yogainstruktør	yogainstruktørens	Q110786,Q146233,Q1775415,Q53997851
Q6859454	Human denoting sense	Q9043	nominal	yogainstruktør	yogainstruktørenes	Q146233,Q146786,Q499327,Q53997851
Q6859454	Human denoting sense	Q9043	nominal	yogainstruktør	yogainstruktørens	Q110786,Q146233,Q499327,Q53997851
Q6859454	Human denoting sense	Q9043	nominal	yogainstruktør	yogainstruktørers	Q146233,Q146786,Q1775415,Q53997857
Q6859454	Human denoting sense	Q9043	nominal	yogainstruktør	yogainstruktørs	Q110786,Q146233,Q1775415,Q53997857
Q6859454	Human denoting sense	Q9043	nominal	yogainstruktør	yogainstruktørers	Q146233,Q146786,Q499327,Q53997857
Q6859454	Human denoting sense	Q9043	nominal	yogainstruktør	yogainstruktørs	Q110786,Q146233,Q499327,Q53997857
Q6859454	Human denoting sense	Q9043	nominal	yogainstruktør	yogainstruktørene	Q131105,Q146786,Q1775415,Q53997851
Q6859454	Human denoting sense	Q9043	nominal	yogainstruktør	yogainstruktøren	Q110786,Q131105,Q1775415,Q53997851
Q6859454	Human denoting sense	Q9043	nominal	yogainstruktør	yogainstruktørene	Q131105,Q146786,Q499327,Q53997851
Q6859454	Human denoting sense	Q9043	nominal	yogainstruktør	yogainstruktøren	Q110786,Q131105,Q499327,Q53997851
Q6859454	Human denoting sense	Q9043	nominal	yogainstruktør	yogainstruktører	Q131105,Q146786,Q1775415,Q53997857
Q6859454	Human denoting sense	Q9043	nominal	yogainstruktør	yogainstruktør	Q110786,Q131105,Q1775415,Q53997857
Q6859454	Human denoting sense	Q9043	nominal	yogainstruktør	yogainstruktører	Q131105,Q146786,Q499327,Q53997857
Q6859454	Human denoting sense	Q9043	nominal	yogainstruktør	yogainstruktør	Q110786,Q131105,Q499327,Q53997857
Q1326154	Human denoting sense	Q9043	nominal	førstebasemann	førstebasemennenes	Q146233,Q146786,Q1775415,Q53997851
Q1326154	Human denoting sense	Q9043	nominal	førstebasemann	førstebasemannen s	Q110786,Q146233,Q1775415,Q53997851
Q1326154	Human denoting sense	Q9043	nominal	førstebasemann	førstebasemennenes	Q146233,Q146786,Q499327,Q53997851
Q1326154	Human denoting sense	Q9043	nominal	førstebasemann	førstebasemannen s	Q110786,Q146233,Q499327,Q53997851
Q1326154	Human denoting sense	Q9043	nominal	førstebasemann	førstebasemenns	Q146233,Q146786,Q1775415,Q53997857
Q1326154	Human denoting sense	Q9043	nominal	førstebasemann	førstebasemanns	Q110786,Q146233,Q1775415,Q53997857
Q1326154	Human denoting sense	Q9043	nominal	førstebasemann	førstebasemenns	Q146233,Q146786,Q499327,Q53997857
Q1326154	Human denoting sense	Q9043	nominal	førstebasemann	førstebasemanns	Q110786,Q146233,Q499327,Q53997857
Q1326154	Human denoting sense	Q9043	nominal	førstebasemann	førstebasemennene	Q131105,Q146786,Q1775415,Q53997851
Q1326154	Human denoting sense	Q9043	nominal	førstebasemann	førstebasemannen	Q110786,Q131105,Q1775415,Q53997851
Q1326154	Human denoting sense	Q9043	nominal	førstebasemann	førstebasemennene	Q131105,Q146786,Q499327,Q53997851
Q1326154	Human denoting sense	Q9043	nominal	førstebasemann	førstebasemannen	Q110786,Q131105,Q499327,Q53997851
Q1326154	Human denoting sense	Q9043	nominal	førstebasemann	førstebasemenn	Q131105,Q146786,Q1775415,Q53997857
Q1326154	Human denoting sense	Q9043	nominal	førstebasemann	førstebasemann	Q110786,Q131105,Q1775415,Q53997857
Q1326154	Human denoting sense	Q9043	nominal	førstebasemann	førstebasemenn	Q131105,Q146786,Q499327,Q53997857
Q1326154	Human denoting sense	Q9043	nominal	førstebasemann	førstebasemann	Q110786,Q131105,Q499327,Q53997857
Q169180	Human denoting sense	Q9043	nominal	offer	ofrenes	Q146233,Q146786,Q1775415,Q53997851
Q169180	Human denoting sense	Q9043	nominal	offer	offerets	Q110786,Q146233,Q1775415,Q53997851
Q169180	Human denoting sense	Q9043	nominal	offer	ofrenes	Q146233,Q146786,Q499327,Q53997851
Q169180	Human denoting sense	Q9043	nominal	offer	offerets	Q110786,Q146233,Q499327,Q53997851
Q169180	Human denoting sense	Q9043	nominal	offer	ofres	Q146233,Q146786,Q1775415,Q53997857
Q169180	Human denoting sense	Q9043	nominal	offer	offers	Q110786,Q146233,Q1775415,Q53997857
Q169180	Human denoting sense	Q9043	nominal	offer	ofres	Q146233,Q146786,Q499327,Q53997857
Q169180	Human denoting sense	Q9043	nominal	offer	offers	Q110786,Q146233,Q499327,Q53997857
Q169180	Human denoting sense	Q9043	nominal	offer	ofrene	Q131105,Q146786,Q1775415,Q53997851
Q169180	Human denoting sense	Q9043	nominal	offer	offeret	Q110786,Q131105,Q1775415,Q53997851
Q169180	Human denoting sense	Q9043	nominal	offer	ofrene	Q131105,Q146786,Q499327,Q53997851
Q169180	Human denoting sense	Q9043	nominal	offer	offeret	Q110786,Q131105,Q499327,Q53997851
Q169180	Human denoting sense	Q9043	nominal	offer	ofre	Q131105,Q146786,Q1775415,Q53997857
Q169180	Human denoting sense	Q9043	nominal	offer	offer	Q110786,Q131105,Q1775415,Q53997857
Q169180	Human denoting sense	Q9043	nominal	offer	ofre	Q131105,Q146786,Q499327,Q53997857
Q169180	Human denoting sense	Q9043	nominal	offer	offer	Q110786,Q131105,Q499327,Q53997857
Q487596	Human denoting sense	Q9043	nominal	dramaturg	dramaturgenes	Q146233,Q146786,Q1775415,Q53997851
Q487596	Human denoting sense	Q9043	nominal	dramaturg	dramaturgens	Q110786,Q146233,Q1775415,Q53997851
Q487596	Human denoting sense	Q9043	nominal	dramaturg	dramaturgenes	Q146233,Q146786,Q499327,Q53997851
Q487596	Human denoting sense	Q9043	nominal	dramaturg	dramaturgens	Q110786,Q146233,Q499327,Q53997851
Q487596	Human denoting sense	Q9043	nominal	dramaturg	dramaturgers	Q146233,Q146786,Q1775415,Q53997857
Q487596	Human denoting sense	Q9043	nominal	dramaturg	dramaturgs	Q110786,Q146233,Q1775415,Q53997857
Q487596	Human denoting sense	Q9043	nominal	dramaturg	dramaturgers	Q146233,Q146786,Q499327,Q53997857
Q487596	Human denoting sense	Q9043	nominal	dramaturg	dramaturgs	Q110786,Q146233,Q499327,Q53997857
Q487596	Human denoting sense	Q9043	nominal	dramaturg	dramaturgene	Q131105,Q146786,Q1775415,Q53997851
Q487596	Human denoting sense	Q9043	nominal	dramaturg	dramaturgen	Q110786,Q131105,Q1775415,Q53997851
Q487596	Human denoting sense	Q9043	nominal	dramaturg	dramaturgene	Q131105,Q146786,Q499327,Q53997851
Q487596	Human denoting sense	Q9043	nominal	dramaturg	dramaturgen	Q110786,Q131105,Q499327,Q53997851
Q487596	Human denoting sense	Q9043	nominal	dramaturg	dramaturger	Q131105,Q146786,Q1775415,Q53997857
Q487596	Human denoting sense	Q9043	nominal	dramaturg	dramaturg	Q110786,Q131105,Q1775415,Q53997857
Q487596	Human denoting sense	Q9043	nominal	dramaturg	dramaturger	Q131105,Q146786,Q499327,Q53997857
Q487596	Human denoting sense	Q9043	nominal	dramaturg	dramaturg	Q110786,Q131105,Q499327,Q53997857
Q8313	Human denoting sense	Q9043	nominal	spesialeffekt-tekniker	spesialeffekt-teknikernes	Q146233,Q146786,Q1775415,Q53997851
Q8313	Human denoting sense	Q9043	nominal	spesialeffekt-tekniker	spesialeffekt-teknikerens	Q110786,Q146233,Q1775415,Q53997851
Q8313	Human denoting sense	Q9043	nominal	spesialeffekt-tekniker	spesialeffekt-teknikernes	Q146233,Q146786,Q499327,Q53997851
Q8313	Human denoting sense	Q9043	nominal	spesialeffekt-tekniker	spesialeffekt-teknikerens	Q110786,Q146233,Q499327,Q53997851
Q8313	Human denoting sense	Q9043	nominal	spesialeffekt-tekniker	spesialeffekt-teknikeres	Q146233,Q146786,Q1775415,Q53997857
Q8313	Human denoting sense	Q9043	nominal	spesialeffekt-tekniker	spesialeffekt-teknikers	Q110786,Q146233,Q1775415,Q53997857
Q8313	Human denoting sense	Q9043	nominal	spesialeffekt-tekniker	spesialeffekt-teknikeres	Q146233,Q146786,Q499327,Q53997857
Q8313	Human denoting sense	Q9043	nominal	spesialeffekt-tekniker	spesialeffekt-teknikers	Q110786,Q146233,Q499327,Q53997857
Q8313	Human denoting sense	Q9043	nominal	spesialeffekt-tekniker	spesialeffekt-teknikerne	Q131105,Q146786,Q1775415,Q53997851
Q8313	Human denoting sense	Q9043	nominal	spesialeffekt-tekniker	spesialeffekt-teknikeren	Q110786,Q131105,Q1775415,Q53997851
Q8313	Human denoting sense	Q9043	nominal	spesialeffekt-tekniker	spesialeffekt-teknikerne	Q131105,Q146786,Q499327,Q53997851
