topic	relation	language	pos	lemma	orthography	features
Q200589	Demonym adjective	Q5885	adjectival	உட்சுனோமியா	உட்சுனோமியா	
Q2526255	Human denoting sense	Q5885	nominal	திரைப்பட இயக்குனர்	திரைப்பட இயக்குனர்களில்	Q146786,Q156986,Q1775415
Q2526255	Human denoting sense	Q5885	nominal	திரைப்பட இயக்குனர்	திரைப்பட இயக்குனர்களில்	Q146786,Q156986,Q499327
Q2526255	Human denoting sense	Q5885	nominal	திரைப்பட இயக்குனர்	திரைப்பட இயக்குனரில்	Q110786,Q156986,Q1775415
Q2526255	Human denoting sense	Q5885	nominal	திரைப்பட இயக்குனர்	திரைப்பட இயக்குனரில்	Q110786,Q156986,Q499327
Q2526255	Human denoting sense	Q5885	nominal	திரைப்பட இயக்குனர்	திரைப்பட இயக்குனர்களை	Q146078,Q146786,Q1775415
Q2526255	Human denoting sense	Q5885	nominal	திரைப்பட இயக்குனர்	திரைப்பட இயக்குனர்களை	Q146078,Q146786,Q499327
Q2526255	Human denoting sense	Q5885	nominal	திரைப்பட இயக்குனர்	திரைப்பட இயக்குனரை	Q110786,Q146078,Q1775415
Q2526255	Human denoting sense	Q5885	nominal	திரைப்பட இயக்குனர்	திரைப்பட இயக்குனரை	Q110786,Q146078,Q499327
Q2526255	Human denoting sense	Q5885	nominal	திரைப்பட இயக்குனர்	திரைப்பட இயக்குனர்களுக்கு	Q145599,Q146786,Q1775415
Q2526255	Human denoting sense	Q5885	nominal	திரைப்பட இயக்குனர்	திரைப்பட இயக்குனர்களுக்கு	Q145599,Q146786,Q499327
Q2526255	Human denoting sense	Q5885	nominal	திரைப்பட இயக்குனர்	திரைப்பட இயக்குனருக்கு	Q110786,Q145599,Q1775415
Q2526255	Human denoting sense	Q5885	nominal	திரைப்பட இயக்குனர்	திரைப்பட இயக்குனருக்கு	Q110786,Q145599,Q499327
Q2526255	Human denoting sense	Q5885	nominal	திரைப்பட இயக்குனர்	திரைப்பட இயக்குனர்களின்	Q146233,Q146786,Q1775415
Q2526255	Human denoting sense	Q5885	nominal	திரைப்பட இயக்குனர்	திரைப்பட இயக்குனர்களின்	Q146233,Q146786,Q499327
Q2526255	Human denoting sense	Q5885	nominal	திரைப்பட இயக்குனர்	திரைப்பட இயக்குனரின்	Q110786,Q146233,Q1775415
Q2526255	Human denoting sense	Q5885	nominal	திரைப்பட இயக்குனர்	திரைப்பட இயக்குனரின்	Q110786,Q146233,Q499327
Q2526255	Human denoting sense	Q5885	nominal	திரைப்பட இயக்குனர்	திரைப்பட இயக்குனர்களால்	Q146786,Q1775415,Q192997
Q2526255	Human denoting sense	Q5885	nominal	திரைப்பட இயக்குனர்	திரைப்பட இயக்குனர்களால்	Q146786,Q192997,Q499327
Q2526255	Human denoting sense	Q5885	nominal	திரைப்பட இயக்குனர்	திரைப்பட இயக்குனரால்	Q110786,Q1775415,Q192997
Q2526255	Human denoting sense	Q5885	nominal	திரைப்பட இயக்குனர்	திரைப்பட இயக்குனரால்	Q110786,Q192997,Q499327
Q2526255	Human denoting sense	Q5885	nominal	திரைப்பட இயக்குனர்	திரைப்பட இயக்குனர்களில்	Q146786,Q1775415,Q202142
Q2526255	Human denoting sense	Q5885	nominal	திரைப்பட இயக்குனர்	திரைப்பட இயக்குனர்களில்	Q146786,Q202142,Q499327
Q2526255	Human denoting sense	Q5885	nominal	திரைப்பட இயக்குனர்	திரைப்பட இயக்குனரில்	Q110786,Q1775415,Q202142
Q2526255	Human denoting sense	Q5885	nominal	திரைப்பட இயக்குனர்	திரைப்பட இயக்குனரில்	Q110786,Q202142,Q499327
Q2526255	Human denoting sense	Q5885	nominal	திரைப்பட இயக்குனர்	திரைப்பட இயக்குனர்கள்	Q131105,Q146786,Q1775415
Q2526255	Human denoting sense	Q5885	nominal	திரைப்பட இயக்குனர்	திரைப்பட இயக்குனர்கள்	Q131105,Q146786,Q499327
Q2526255	Human denoting sense	Q5885	nominal	திரைப்பட இயக்குனர்	திரைப்பட இயக்குனர்	Q110786,Q131105,Q1775415
